F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,MPU 1,MPU 2,MPU 3,MPU 4,Actions
1022,1022,1023,1018,826,1022,1022,791,1023,561,1.02,81.69,1.19,85.02,4
1021,1022,1020,1021,823,1022,1021,683,722,653,0.27,20.96,1.54,22.92,5
1022,1022,1023,1023,809,1021,1022,582,576,703,25.61,32.5,26.05,21.61,5
1022,1022,1022,1022,773,1022,1022,590,573,685,27.21,61.78,23.95,65.06,5
1022,1022,1023,1023,776,1022,1022,587,582,697,7.33,102.67,8.03,100.62,5
1022,664,1022,1022,806,1023,1023,589,580,681,16.08,52.01,16.1,34.66,5
1022,653,1023,1019,823,1022,1022,591,575,679,7.76,40.23,6.24,33.54,5
1023,647,1023,1023,808,1023,1022,587,572,694,10.52,71.54,10.61,71.27,5
1022,1022,1022,1023,807,1023,1022,589,566,658,37.58,262.94,39.69,255.7,5
1022,1023,1023,1023,805,1023,1020,585,564,692,31.15,26.97,31.47,13.21,5
1023,1020,1022,1022,800,1023,1022,598,588,686,85.91,121.15,88.78,110.58,5
1022,1023,1023,1023,705,1023,1023,589,579,672,10.83,137,10.27,137.38,5
1023,1023,1023,1023,708,1023,1023,586,569,693,27.17,102.6,26.57,101.04,5
1023,1023,1013,1019,814,1018,1021,601,1022,688,31,40.9,21.26,41.79,5
1023,1018,1021,1022,816,1022,1022,603,574,666,15.62,194.28,15.76,230.08,5
1022,1022,1023,1023,711,1023,1022,608,669,686,2.11,125.19,2.46,123.22,5
1022,1023,1023,1023,764,1021,1022,632,635,675,65.13,212.94,64.62,214.36,5
1023,662,1019,1023,699,1023,1022,583,581,694,7.45,67.64,7.18,69.23,5
1023,1023,1023,1023,723,1022,1022,615,602,667,1.03,321.56,1.26,321.65,5
1022,652,1022,1023,795,1023,1023,616,588,649,23.06,76.22,23.1,77.93,5
1023,1023,1023,1019,727,1022,1023,596,583,678,26.07,35.89,26.65,37.21,5
1022,1022,1023,1023,725,1023,1023,585,564,667,4.21,126.47,4.19,120.67,5
1023,647,1023,1020,833,1022,1023,599,566,675,0.77,37.47,0.6,36.21,5
1023,1023,1023,1023,707,1019,1022,588,566,677,11.87,45.67,11.6,47.18,5
1019,1022,1022,1022,711,1023,1023,600,605,675,40.67,16.64,39.12,16.52,5
1023,1023,1023,1023,849,1022,1022,599,582,675,24.66,243.91,22.89,242.36,5
1023,1023,1023,1020,715,1022,1023,598,596,694,36.09,1.53,40.92,0.61,5
1022,1023,1023,1023,709,1023,1018,598,588,688,58.12,10.77,57.19,14.08,5
1023,1023,1022,1023,836,1023,1023,605,605,675,1.14,238.83,1.39,228.7,5
1023,1023,1023,1023,786,1023,1023,627,618,667,12.75,177.59,12.33,179.05,5
1023,1023,1023,1023,704,1023,1022,604,587,688,2.47,10.74,2.9,4.28,5
1020,1022,1022,1022,740,1023,1023,791,628,691,3.18,15.62,0.91,14.02,6
1023,1023,1023,1019,734,1022,1022,782,628,685,6.8,19.09,6.96,13.34,6
1022,1023,1023,1023,730,1022,1023,778,602,683,10.85,44.07,10.54,39.19,6
1022,1022,1022,1022,719,1022,1023,775,600,689,2.75,4.74,2.92,6.66,6
1022,1022,1022,1023,716,1022,1023,774,1023,689,17.01,123.64,16.87,123.4,6
1022,1022,1023,1023,717,1022,1023,775,611,685,17.78,60.33,17.79,58.57,6
1022,1023,1023,1022,844,1022,1022,769,596,685,6.53,56.1,4.93,57.05,6
1023,1023,1023,1023,838,1022,1023,768,593,683,2.47,127.7,3.09,132.42,6
1017,1021,1022,1022,757,1023,1023,771,1012,670,3.57,156.58,3.87,166.64,6
1022,1022,1022,1023,747,1023,1023,771,1022,685,1.5,12.65,2.61,18.81,6
1021,1022,1022,1022,747,1022,1022,769,632,686,13.83,3.25,15.79,5.26,6
1023,1023,1023,1022,747,1022,1022,767,592,698,6.04,17.05,5.53,22.48,6
1022,1022,1022,1023,745,1022,1022,768,640,709,3.43,93.79,3.59,93.8,6
1022,1022,1022,1022,747,1023,1020,766,592,705,16.69,40.27,17.56,40.87,6
1020,1021,1022,1022,826,1022,1022,765,630,690,25.67,66.02,25.25,125.32,6
1022,1022,1023,1023,818,1023,1023,764,620,687,2.81,99.55,3.76,97.73,6
1022,1022,1022,1023,814,1023,1023,764,624,685,7.88,79.63,7.86,81.52,6
1023,1022,1022,1022,802,1022,1022,765,616,695,28.34,101.19,28.67,99.44,6
1022,1022,1022,1022,726,1022,1023,761,624,692,3.41,60.14,3.03,63.05,6
1022,1022,1022,1022,731,1022,1022,762,591,690,9.57,47,9.23,48.39,6
1023,1023,1021,1022,732,1023,1023,763,604,685,15.6,61.96,15.37,69.6,6
1022,1023,1023,1023,842,1023,1020,760,618,688,1.27,103.63,0.6,94.7,6
1021,1022,1022,1022,816,1023,1023,760,615,689,8.08,50.39,8.7,48,6
1023,1023,1022,1022,803,1022,1023,760,616,686,6.99,70.34,6.86,70.81,6
1022,1023,1023,1023,799,1022,1022,760,616,686,7.4,31.78,7.25,31.91,6
1022,1022,1023,1023,798,1023,1023,757,615,685,6.7,79.61,6.18,81.12,6
1022,1022,1022,1023,798,1023,1023,759,619,686,7.35,55.37,7.31,50.85,6
1023,1023,1020,1022,783,1023,1023,759,608,686,6.94,52.8,7.08,51.29,6
1022,1022,1023,1023,766,1022,1022,757,594,683,11.89,101.2,11.79,101.65,6
1023,1018,1021,1022,763,1022,1022,760,633,690,2.64,103.58,2.74,101.79,6
1022,1022,1022,1023,682,1023,1023,655,624,641,48.31,257.51,47.03,259.66,7
1022,1023,1023,1023,704,1023,1023,1016,710,649,19.14,250.15,19.66,250.14,7
1022,1023,1023,1023,685,1023,1020,844,599,639,4.38,35.18,4.81,37.29,7
1022,1023,1023,1023,695,1023,1023,636,667,648,2.97,77.02,3.25,80.89,7
1023,1023,1023,1023,694,1023,1023,648,605,638,13.41,76.01,13.2,70.46,7
1022,1023,1023,1022,689,1023,1023,653,595,639,21.8,224.18,22.24,223.87,7
1022,1023,1023,1023,696,1021,1022,638,653,631,3.63,269.15,3.64,269.2,7
1021,1022,1022,1023,716,1023,1023,646,667,635,17.09,200.67,17.27,201.49,7
1023,1022,1022,1023,701,1023,1023,629,596,632,51.37,45.74,52.02,11.51,7
1023,1023,1021,1022,697,1023,1022,644,599,636,1.94,274.24,1.95,253.21,7
1022,1022,1023,1023,709,1023,1023,655,684,622,1.21,1.95,1.29,2.45,7
1022,1022,1022,1023,703,1023,1023,683,607,638,1.99,31.43,2.05,4.25,7
1020,1022,1022,1023,699,1023,1023,651,607,639,2.1,250.09,2.37,173.85,7
1022,1022,1023,1023,693,1019,1022,645,1022,634,3.26,275,3.58,274.6,7
1023,1023,1022,1022,699,1023,1022,640,602,632,2.17,133.34,2.43,130.36,7
1022,1022,1023,1023,709,1023,1019,646,602,634,0.33,115.02,0.24,106.58,7
1023,1023,1023,1023,697,1023,1022,650,616,633,2.03,267.81,2.41,269.37,7
1022,1022,1023,1023,702,1023,1022,649,669,629,1.64,32.06,1.81,33.58,7
1021,1022,1022,1023,704,1023,1023,653,735,632,15.6,250.34,15.15,240.78,7
1020,1022,1021,1022,694,1023,1020,649,611,636,6.96,66.58,7.67,94.49,7
1021,1022,1022,1023,695,1023,1023,660,620,642,14.96,20.39,14.89,24.42,7
1022,1022,1023,1023,695,1023,1022,666,613,638,4.61,6.1,3.07,17.77,7
1022,1022,1022,1023,710,1021,1023,655,612,633,1.49,256.89,1.53,125.81,7
1022,1022,1022,1023,701,1023,1023,647,731,633,2.23,191.04,1.72,196.17,7
1022,1022,1022,1023,704,1019,1022,658,628,632,9.58,200.56,9.75,195.47,7
1018,1022,1022,1023,714,1023,1023,660,609,638,2.34,358.21,2.96,351.5,7
1022,1022,1022,1023,715,1022,1022,654,618,634,8.1,191.85,7.16,239.13,7
1021,1022,1022,1022,711,1023,1023,846,638,641,7.4,61.32,7.29,55.31,7
1022,1023,1022,1022,710,1023,1022,664,709,631,0.73,192.69,2.82,188.85,7
1022,1022,1022,1023,707,1023,1023,653,587,636,1.94,136.59,0.75,133.5,7
1022,1022,1021,1023,720,1021,1022,776,1022,601,15.76,231.96,14.98,232.08,8
1022,1023,1023,1017,715,1021,1022,1020,1022,620,6.79,86.11,6.32,86.3,8
1022,1022,1021,1022,715,1021,1022,763,1023,606,1.86,12.89,1.74,14.91,8
1022,1023,1019,1021,715,1022,1022,763,1022,603,3.7,46.87,4.82,46.45,8
1022,1022,1022,1022,717,1023,1022,751,1022,582,7.37,0.98,8.17,154.04,8
1022,1021,1021,1021,677,1022,1022,706,1022,579,4.39,95.32,4.5,96.57,8
1023,1019,1023,1022,674,1020,1020,752,1020,579,0.84,105.37,1.98,108.41,8
1020,1021,1022,1021,673,648,1021,751,1021,582,0.22,4.49,0.28,5.75,8
1020,1021,1022,1022,686,1022,1020,751,1022,583,3.15,162.88,1.1,156.73,8
1020,1022,1022,1022,682,1023,1022,755,1021,588,4.24,89.34,4.03,90.23,8
1020,1021,1022,1022,680,1022,1021,748,1022,574,8.57,53.57,8.58,53.12,8
1020,1022,1023,1023,672,1021,1020,749,1021,597,11.89,89.89,11.86,90.48,8
1019,1021,1022,1022,680,1022,1021,756,1022,587,27.34,32.38,26.89,31.56,8
1020,1022,1022,1022,686,1023,1022,739,1021,587,3.67,25.59,3.31,25.54,8
1019,1021,1022,1022,683,1022,1021,745,1022,572,15.49,21.78,15.51,21.86,8
1021,1022,1022,1022,682,1023,1023,748,1021,565,8.25,198.76,8.09,197.75,8
1020,1023,1023,1022,678,1022,1021,751,1021,574,10.16,3.14,10.43,0.74,8
1021,1022,1022,1022,678,1022,1023,753,1021,566,15.36,15.95,15.39,15.74,8
1021,1023,1023,1020,674,1022,1021,748,1021,585,25.36,94.76,25.38,93.93,8
1021,1021,1022,1022,672,1022,1020,655,627,609,25.89,10.6,24.08,12.91,8
1022,1022,1023,1023,682,1021,1020,771,1021,597,32.22,29.34,32.33,31.39,8
1021,1021,1022,1022,680,1022,1021,751,1022,577,7.77,26.57,7.8,37.74,8
1022,1022,1023,1023,676,699,1021,748,1021,584,5.35,23.34,6.06,21.67,8
1021,1022,1022,1022,705,1023,1023,732,1021,589,1.39,15.93,1.03,11.08,8
1020,1022,1022,1021,672,1022,1020,718,1022,571,56.68,170.82,56.58,165.72,8
1020,1021,1022,1022,671,1022,1021,744,1023,587,5.7,62.19,5.55,46.82,8
1021,1023,1020,1020,693,1022,1021,707,1021,607,9.98,106.14,10.02,107.45,8
1020,1021,1021,1021,714,1022,1021,745,1022,571,9.74,18.29,9.92,16.06,8
1020,1022,1023,1022,832,1021,1020,737,1021,574,2.68,45.67,2.89,45.83,8
1020,1021,1021,1021,677,1021,1021,733,1018,590,5.74,15.25,5.19,17.32,8
1022,1022,1023,1022,694,1022,1022,812,579,718,8.72,49.17,8.64,38.62,9
1022,1022,1023,1023,694,1023,1019,735,575,616,7.65,156.47,7.76,161.65,9
1017,1021,1022,1022,693,1022,1022,789,565,688,10.64,6.65,10.48,13.73,9
1023,705,1018,1023,694,1022,1021,812,568,712,71.7,16.2,31.62,23.64,9
1021,712,1022,1022,692,1022,1022,799,565,710,2.42,32.5,2.19,31.53,9
1022,670,1022,1023,683,1023,1022,1023,569,654,2.46,26.18,4.28,25.92,9
1023,627,1021,1022,728,1022,1022,808,569,730,13.85,15.67,15.81,16.49,9
1023,664,1023,1023,855,1023,1022,799,563,726,5.91,48.98,4.04,58.06,9
1022,1023,1023,1023,727,1023,1023,811,571,729,13.22,46.9,7.98,42.75,9
1020,1022,1022,1022,721,1022,1022,779,558,617,9.22,353.75,9.19,353.75,9
1022,638,1023,1023,738,1023,1020,789,563,679,13.24,93.19,13.31,103.75,9
1018,632,1022,1023,684,1022,1022,789,563,677,14.27,4.58,13.76,1.47,9
1023,1023,1020,1022,673,1022,1023,802,565,735,0.78,15.06,1.27,11.32,9
1022,663,1023,1023,669,1023,1022,643,554,641,5.57,12.42,5.58,9.99,9
1022,1023,1023,1023,656,1021,1022,768,554,600,11.13,83.65,10.71,80.4,9
1022,651,1023,1023,657,656,1023,1023,556,636,10.13,93.99,10.84,104.51,9
1023,655,1023,1023,661,1022,1022,807,563,679,9.5,201.98,9.51,202.04,9
1022,648,1022,1023,658,1023,1023,1023,557,640,1.24,7.86,1.13,8.89,9
1022,675,1022,1022,687,1023,1023,1023,564,669,3.19,250.2,2.06,250.29,9
1022,681,1020,1021,654,1022,1022,804,567,639,4.46,94.14,4.1,88.51,9
1022,687,1023,1023,676,1021,1022,793,564,710,1.71,16.82,1.54,29.25,9
1022,681,1023,1023,677,1022,1022,786,557,634,7.5,84.17,7.44,74.3,9
1022,691,1023,1023,672,1023,1023,803,564,701,2.67,6.43,2.61,6.29,9
1022,684,1023,1023,671,1023,1023,798,563,668,2.79,95.02,2.58,102.88,9
1022,655,1022,1023,669,1023,1023,791,566,720,12.17,19.49,12.2,17.98,9
1023,648,1022,1022,669,1023,1023,777,567,672,7.92,70.46,8.21,70.87,9
1023,667,1023,1023,670,1022,1022,789,565,724,17.71,8.4,16.62,8.38,9
1022,669,1023,1023,675,1022,1022,780,566,702,58.98,8.27,47.57,6.59,9
1023,672,1023,1023,675,1019,1022,751,564,636,8.4,172.51,7.95,168.54,9
1023,663,1023,1023,668,1023,1023,768,562,644,3.01,5.64,2.7,6.14,9
1023,1023,1023,1023,720,1023,1023,680,1023,642,28.17,165.48,27.21,163.67,10
1023,1023,1023,1023,717,1023,1022,794,799,603,12.3,190.68,12.45,192.33,10
1023,1023,1023,1023,714,1023,1023,903,600,599,7.68,172.98,7.82,173.94,10
1023,1023,1023,1023,859,1023,1023,761,1019,647,1.84,65.97,1.96,59.87,10
1023,1022,1022,1022,735,1022,1022,768,588,582,1.07,63.29,1.16,63.65,10
1023,1023,1023,1023,732,1022,1022,760,585,591,51.96,17.81,51.7,15.49,10
1022,1022,1023,1023,730,1023,1023,766,600,582,1.97,49.63,1.92,48.78,10
1023,1023,1022,1022,729,1022,1023,758,599,588,6.84,147.34,6.96,145,10
1023,1023,1023,1023,729,1023,1023,768,1021,685,3.44,127.34,3.46,124.97,10
1023,1023,1023,1022,730,1022,1022,1023,625,627,9.05,38.44,9.1,38.82,10
1022,1023,1023,1023,729,1023,1023,770,588,586,7.42,100.68,7.25,104.14,10
1023,1023,1020,1022,729,1022,1023,755,1023,681,4.09,113.78,3.54,108.35,10
1022,1023,1023,1023,729,1023,1022,761,577,582,4.62,47.23,4.8,46.31,10
1020,1021,1022,1022,729,1023,1023,753,1023,672,9.8,117.11,10.36,117.01,10
1022,1022,1022,1022,729,1022,1023,741,573,615,4.58,117.72,4.44,125.07,10
1022,1023,1023,1020,728,1022,1022,754,585,596,2.67,13.14,2.9,12.8,10
1022,1023,1023,1023,729,1023,1020,758,595,610,8.37,28.29,7.9,28.12,10
1023,1023,1023,1023,728,1023,1023,763,582,579,11.78,8.31,12.23,7.14,10
1019,1022,1022,1022,728,1023,1023,773,621,609,0.32,152.48,0.07,153.82,10
1023,1023,1023,1023,728,1023,1019,753,859,628,10.81,199.91,10.28,199.32,10
1023,1023,1023,1019,727,1022,1022,749,1023,659,6.37,102.54,3.37,100.78,10
1018,638,1022,1022,845,1023,1023,749,1016,662,25.97,45.77,26.08,44.49,10
1023,1023,1023,1023,833,1020,1022,745,1023,643,11.95,14.94,12.32,14.15,10
1023,1022,1022,1022,820,1023,1023,742,1023,642,14.58,17.31,15.72,13.09,10
1022,719,1023,1023,812,1023,1023,740,1021,642,6.3,18.25,6.23,18.73,10
1021,1022,1022,1023,811,1023,1023,742,1023,643,6.96,21.55,6.97,21.45,10
1023,684,1023,1023,780,1022,1022,742,1023,641,4.45,57.9,4.03,67.7,10
1023,1023,1023,1023,835,1023,1023,741,1023,642,2.62,52.95,3.12,52.63,10
1022,1022,1022,1023,766,1023,1023,741,1023,642,2.41,77.75,1.96,79.47,10
1023,1023,1023,1023,748,1022,1022,748,585,594,1.47,12.44,1.75,13.22,10
